order_id,order_date,customer_id,customer_email,sku,quantity,unit_price,discount_amount,status
A-556649,2025/02/01,CUS-1134,hamdan.sultan@gmail.com,SKU2201,2,349.00,34.90,Completed
A-556650,2025/02/01,CUS-1240,meera.chandran@gmail.com,SKU1105,1,899.00,90.00,Completed
A-556651,2025/02/02,,guest_7731@marketplace.amazon.ae,SKU3302,3,45.00,0.00,Completed
A-556652,2025/02/02,CUS-1304,kevin.dsouza@gmail.com,SKU4401,1,1299.00,130.00,Completed
A-556653,2025/02/03,CUS-1055,omar.farooq@gmail.com,SKU2205,2,529.00,53.00,Completed
A-556654,2025/02/03,CUS-1078,layla.nasser@gmail.com,SKU1101,2,199.00,20.00,Completed
A-556655,2025/02/04,,guest_9103@marketplace.amazon.ae,SKU3305,3,29.00,0.00,Completed
A-556656,2025/02/04,CUS-1304,kevin.dsouza@gmail.com,SKU4403,1,749.00,75.00,Completed
A-556657,2025/02/05,CUS-1240,meera.chandran@gmail.com,SKU2209,2,229.00,22.90,Completed
A-556658,2025/02/05,CUS-1134,hamdan.sultan@gmail.com,SKU1103,1,459.00,46.00,Completed
A-556659,2025/02/06,,guest_8842@marketplace.amazon.ae,SKU3301,4,19.00,0.00,Completed
A-556660,2025/02/06,CUS-1021,ahmed.almarzouqi@gmail.com,SKU4402,1,599.00,60.00,Completed
A-556661,2025/02/07,CUS-1055,omar.farooq@gmail.com,SKU1106,1,1099.00,110.00,Completed
A-556662,2025/02/07,CUS-1304,kevin.dsouza@gmail.com,SKU2201,2,349.00,0.00,Completed
A-556663,2025/02/08,,guest_7731@marketplace.amazon.ae,SKU3308,2,89.00,8.90,Completed
A-556664,2025/02/08,CUS-1078,layla.nasser@gmail.com,SKU4404,1,2199.00,220.00,Completed
A-556665,2025/02/09,CUS-1240,meera.chandran@gmail.com,SKU1101,3,199.00,30.00,Completed
A-556666,2025/02/09,,guest_9103@marketplace.amazon.ae,SKU3302,2,45.00,0.00,Completed
A-556667,2025/02/10,CUS-1134,hamdan.sultan@gmail.com,SKU4401,1,1299.00,0.00,Completed
A-556668,2025/02/10,CUS-1021,ahmed.almarzouqi@gmail.com,SKU2205,1,529.00,52.90,Completed
