order_id,order_date,customer_id,customer_email,sku,quantity,unit_price,discount_amount,status
A-556705,2025/03/01,CUS-1134,hamdan.sultan@gmail.com,SKU2201,2,349.00,34.90,Completed
A-556706,2025/03/01,CUS-1240,meera.chandran@gmail.com,SKU1105,1,899.00,90.00,Completed
A-556707,2025/03/02,,guest_7731@marketplace.amazon.ae,SKU3302,3,45.00,0.00,Completed
A-556708,2025/03/02,CUS-1403,robert.james@gmail.com,SKU4401,1,1299.00,130.00,Completed
A-556709,2025/03/03,CUS-1055,omar.farooq@gmail.com,SKU2205,2,529.00,53.00,Completed
A-556710,2025/03/03,CUS-1078,layla.nasser@gmail.com,SKU1101,2,199.00,20.00,Completed
A-556711,2025/03/04,,guest_9103@marketplace.amazon.ae,SKU3305,3,29.00,0.00,Completed
A-556712,2025/03/04,CUS-1403,robert.james@gmail.com,SKU4403,1,749.00,75.00,Completed
A-556713,2025/03/05,CUS-1240,meera.chandran@gmail.com,SKU2209,2,229.00,22.90,Completed
A-556714,2025/03/05,CUS-1134,hamdan.sultan@gmail.com,SKU1103,1,459.00,46.00,Completed
A-556715,2025/03/06,,guest_8842@marketplace.amazon.ae,SKU3301,4,19.00,0.00,Completed
A-556716,2025/03/06,CUS-1021,ahmed.almarzouqi@gmail.com,SKU4402,1,599.00,60.00,Completed
A-556717,2025/03/07,CUS-1055,omar.farooq@gmail.com,SKU1106,1,1099.00,110.00,Completed
A-556718,2025/03/07,CUS-1403,robert.james@gmail.com,SKU2201,2,349.00,34.90,Completed
A-556719,2025/03/08,,guest_7731@marketplace.amazon.ae,SKU3308,2,89.00,8.90,Completed
A-556720,2025/03/08,CUS-1078,layla.nasser@gmail.com,SKU4404,1,2199.00,220.00,Completed
A-556721,2025/03/09,CUS-1240,meera.chandran@gmail.com,SKU1101,3,199.00,30.00,Completed
A-556722,2025/03/09,,guest_9103@marketplace.amazon.ae,SKU3302,2,45.00,0.00,Completed
A-556723,2025/03/10,CUS-1134,hamdan.sultan@gmail.com,SKU4401,1,1299.00,130.00,Completed
A-556724,2025/03/10,CUS-1021,ahmed.almarzouqi@gmail.com,SKU2205,1,529.00,52.90,Completed
A-556725,2025/03/11,CUS-1403,robert.james@gmail.com,SKU1105,2,899.00,90.00,Completed
A-556726,2025/03/11,,guest_8842@marketplace.amazon.ae,SKU3305,4,29.00,0.00,Completed
A-556727,2025/03/12,CUS-1055,omar.farooq@gmail.com,SKU4403,1,749.00,75.00,Completed
A-556728,2025/03/12,CUS-1078,layla.nasser@gmail.com,SKU2209,1,229.00,22.90,Completed
A-556729,2025/03/13,,guest_7731@marketplace.amazon.ae,SKU3301,3,19.00,0.00,Completed
A-556730,2025/03/13,CUS-1240,meera.chandran@gmail.com,SKU4402,1,599.00,59.90,Completed
A-556731,2025/03/14,CUS-1134,hamdan.sultan@gmail.com,SKU1106,1,1099.00,110.00,Completed
A-556732,2025/03/14,,guest_9103@marketplace.amazon.ae,SKU2201,2,349.00,0.00,Completed
A-556733,2025/03/15,CUS-1021,ahmed.almarzouqi@gmail.com,SKU3308,1,89.00,8.90,Completed
A-556734,2025/03/15,CUS-1403,robert.james@gmail.com,SKU4404,1,2199.00,220.00,Completed
A-556735,2025/03/16,CUS-1055,omar.farooq@gmail.com,SKU1101,2,199.00,20.00,Completed
A-556736,2025/03/16,,guest_8842@marketplace.amazon.ae,SKU3302,4,45.00,22.50,Completed
A-556737,2025/03/17,CUS-1078,layla.nasser@gmail.com,SKU4401,1,1299.00,130.00,Completed
A-556738,2025/03/17,CUS-1240,meera.chandran@gmail.com,SKU2205,1,529.00,0.00,Completed
A-556739,2025/03/18,,guest_7731@marketplace.amazon.ae,SKU3305,2,29.00,0.00,Completed
A-556740,2025/03/18,CUS-1134,hamdan.sultan@gmail.com,SKU1105,1,899.00,89.90,Completed
A-556741,2025/03/19,CUS-1403,robert.james@gmail.com,SKU4403,2,749.00,75.00,Completed
A-556742,2025/03/19,CUS-1021,ahmed.almarzouqi@gmail.com,SKU2209,1,229.00,0.00,Completed
A-556743,2025/03/20,,guest_9103@marketplace.amazon.ae,SKU3301,5,19.00,0.00,Completed
A-556744,2025/03/20,CUS-1055,omar.farooq@gmail.com,SKU1103,1,459.00,46.00,Completed
A-556745,2025/03/21,CUS-1078,layla.nasser@gmail.com,SKU4402,1,599.00,60.00,Completed
A-556746,2025/03/21,CUS-1240,meera.chandran@gmail.com,SKU2210,1,189.00,19.00,Completed
A-556747,2025/03/22,,guest_8842@marketplace.amazon.ae,SKU3308,2,89.00,0.00,Completed
A-556748,2025/03/22,CUS-1134,hamdan.sultan@gmail.com,SKU4404,1,2199.00,0.00,Cancelled
A-556749,2025/03/23,CUS-1403,robert.james@gmail.com,SKU1106,1,1099.00,110.00,Completed
A-556750,2025/03/23,CUS-1021,ahmed.almarzouqi@gmail.com,SKU2201,2,349.00,34.90,Completed
A-556751,2025/03/24,,guest_7731@marketplace.amazon.ae,SKU3302,3,45.00,0.00,Completed
A-556752,2025/03/24,CUS-1055,omar.farooq@gmail.com,SKU4401,1,1299.00,130.00,Completed
A-556753,2025/03/25,CUS-1078,layla.nasser@gmail.com,SKU1105,1,899.00,0.00,Completed
A-556754,2025/03/25,CUS-1240,meera.chandran@gmail.com,SKU2205,2,529.00,53.00,Completed
A-556755,2025/03/26,,guest_9103@marketplace.amazon.ae,SKU3305,3,29.00,0.00,Completed
A-556756,2025/03/26,CUS-1134,hamdan.sultan@gmail.com,SKU4403,1,749.00,74.90,Completed
A-556757,2025/03/27,CUS-1403,robert.james@gmail.com,SKU2209,1,229.00,22.90,Completed
A-556758,2025/03/27,CUS-1021,ahmed.almarzouqi@gmail.com,SKU1101,3,199.00,30.00,Completed
A-556759,2025/03/28,,guest_8842@marketplace.amazon.ae,SKU3301,4,19.00,0.00,Completed
A-556760,2025/03/28,CUS-1055,omar.farooq@gmail.com,SKU4402,1,599.00,59.90,Completed
A-556761,2025/03/29,CUS-1078,layla.nasser@gmail.com,SKU4404,1,2199.00,220.00,Completed
A-556762,2025/03/29,CUS-1240,meera.chandran@gmail.com,SKU1103,1,459.00,46.00,Completed
A-556763,2025/03/30,,guest_7731@marketplace.amazon.ae,SKU3308,2,89.00,8.90,Completed
A-556764,2025/03/30,CUS-1134,hamdan.sultan@gmail.com,SKU2210,1,189.00,19.00,Completed
A-556765,2025/03/31,CUS-1403,robert.james@gmail.com,SKU4401,1,1299.00,130.00,Completed
A-556766,2025/03/31,CUS-1021,ahmed.almarzouqi@gmail.com,SKU3302,3,45.00,0.00,Completed
