order_id,order_date,customer_id,customer_email,sku,quantity,unit_price,discount_amount,status
W-10097,01/02/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-4401,1,1299.00,130.00,Completed
W-10098,01/02/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-2201,2,349.00,0.00,Completed
W-10099,02/02/2025,,sara.ahmed@gmail.com,SKU-3302,3,45.00,0.00,Completed
W-10100,02/02/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-1105,1,899.00,90.00,Completed
W-10101,03/02/2025,CUS-1301,hassan.alali@gmail.com,SKU-4403,1,749.00,0.00,Completed
W-10102,03/02/2025,CUS-1102,sara.yousuf@gmail.com,SKU-2205,1,529.00,52.90,Completed
W-10103,04/02/2025,CUS-1055,omar.farooq@gmail.com,SKU-1101,2,199.00,0.00,Completed
W-10104,04/02/2025,,lina.mahmoud@outlook.com,SKU-3305,4,29.00,0.00,Completed
W-10105,05/02/2025,CUS-1078,layla.nasser@gmail.com,SKU-4404,1,2199.00,220.00,Completed
W-10106,05/02/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-2209,2,229.00,22.90,Completed
W-10107,06/02/2025,CUS-1301,hassan.alali@gmail.com,SKU-1103,1,459.00,0.00,Completed
W-10108,06/02/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-3301,5,19.00,0.00,Completed
W-10109,07/02/2025,,noor.alqasim@gmail.com,SKU-4402,1,599.00,60.00,Completed
W-10110,07/02/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-2210,1,189.00,0.00,Completed
W-10111,08/02/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1106,1,1099.00,110.00,Completed
W-10112,08/02/2025,CUS-1302,priya.nair@gmail.com,SKU-3308,2,89.00,0.00,Completed
W-10113,09/02/2025,CUS-1055,omar.farooq@gmail.com,SKU-4401,1,1299.00,0.00,Returned
W-10114,09/02/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-2201,1,349.00,34.90,Completed
W-10115,10/02/2025,,fatma.alzaabi@yahoo.com,SKU-1105,1,899.00,0.00,Completed
W-10116,10/02/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-3302,4,45.00,0.00,Completed
W-10117,11/02/2025,CUS-1301,hassan.alali@gmail.com,SKU-4403,2,749.00,75.00,Completed
W-10118,11/02/2025,CUS-1078,layla.nasser@gmail.com,SKU-2205,1,529.00,0.00,Completed
W-10119,12/02/2025,CUS-1302,priya.nair@gmail.com,SKU-1101,3,199.00,30.00,Completed
W-10120,12/02/2025,,khalid.mansoor@gmail.com,SKU-3305,2,29.00,0.00,Completed
W-10121,13/02/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-4404,1,2199.00,0.00,Completed
W-10122,13/02/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-2209,1,229.00,22.90,Completed
W-10123,14/02/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1103,1,459.00,46.00,Completed
W-10124,14/02/2025,,valentine.guest@gmail.com,SKU-3301,3,19.00,0.00,Completed
W-10125,15/02/2025,CUS-1102,sara.yousuf@gmail.com,SKU-4402,1,599.00,0.00,Completed
W-10126,15/02/2025,CUS-1301,hassan.alali@gmail.com,SKU-2210,2,189.00,19.00,Completed
W-10127,16/02/2025,CUS-1055,omar.farooq@gmail.com,SKU-1106,1,1099.00,110.00,Completed
