order_id,order_date,customer_id,customer_email,sku,quantity,unit_price,discount_amount,status
W-10041,01/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-2201,2,349.00,0.00,Completed
W-10042,01/01/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1105,1,899.00,50.00,Completed
W-10043,02/01/2025,,noura.khalid@yahoo.com,SKU-3302,3,45.00,0.00,Completed
W-10044,02/01/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-2201,1,349.00,34.90,Completed
W-10045,03/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-4401,1,1299.00,0.00,Completed
W-10046,03/01/2025,CUS-1102,sara.yousuf@gmail.com,SKU-1101,2,199.00,0.00,Returned
W-10047,04/01/2025,CUS-1055,omar.farooq@gmail.com,SKU-2205,1,529.00,52.90,Completed
W-10048,04/01/2025,,zainab.ali@outlook.com,SKU-3305,4,29.00,0.00,Completed
W-10049,05/01/2025,CUS-1078,layla.nasser@gmail.com,SKU-1105,1,899.00,0.00,Completed
W-10050,05/01/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-4403,2,749.00,75.00,Completed
W-10051,06/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-2209,1,229.00,0.00,Completed
W-10052,06/01/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-3301,6,19.00,10.00,Completed
W-10053,07/01/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-1103,1,459.00,0.00,Cancelled
W-10054,07/01/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-4401,1,1299.00,130.00,Completed
W-10055,08/01/2025,,mariam.saleh@gmail.com,SKU-2201,2,349.00,0.00,Completed
W-10056,08/01/2025,CUS-1055,omar.farooq@gmail.com,SKU-1106,1,1099.00,0.00,Completed
W-10057,09/01/2025,CUS-1102,sara.yousuf@gmail.com,SKU-3308,2,89.00,0.00,Completed
W-10058,09/01/2025,CUS-9999,deleted.user@gmail.com,SKU-2205,1,529.00,0.00,Completed
W-10059,10/01/2025,CUS-1078,layla.nasser@gmail.com,SKU-4404,1,2199.00,200.00,Completed
W-10060,10/01/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-1101,3,199.00,30.00,Completed
W-10061,11/01/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-2210,1,189.00,0.00,Completed
W-10062,11/01/2025,,ali.mohammed@gmail.com,SKU-3302,2,45.00,0.00,Completed
W-10063,12/01/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-4402,1,599.00,60.00,Completed
W-10064,12/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-1105,1,899.00,89.90,Completed
W-10065,13/01/2025,CUS-1055,omar.farooq@gmail.com,SKU-2201,2,349.00,0.00,Completed
W-10066,14/01/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-3305,5,29.00,0.00,Completed
W-10067,14/01/2025,,nadia.ibrahim@hotmail.com,SKU-1103,1,459.00,45.90,Completed
W-10068,15/01/2025,CUS-1102,sara.yousuf@gmail.com,SKU-4401,1,1299.00,0.00,Returned
W-10069,15/01/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-2209,2,229.00,22.90,Completed
W-10070,16/01/2025,CUS-1078,layla.nasser@gmail.com,SKU-3301,4,19.00,0.00,Completed
W-10071,16/01/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1106,1,1099.00,100.00,Completed
W-10072,17/01/2025,,yousef.almazrouei@gmail.com,SKU-4403,1,749.00,0.00,Completed
W-10073,18/01/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-2205,1,529.00,0.00,Completed
W-10074,18/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-3308,3,89.00,0.00,Completed
W-10075,19/01/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-1101,2,199.00,0.00,Completed
W-10076,20/01/2025,CUS-1055,omar.farooq@gmail.com,SKU-4404,1,2199.00,0.00,Cancelled
W-10077,20/01/2025,,hessa.alfalasi@gmail.com,SKU-2210,2,189.00,18.90,Completed
W-10078,21/01/2025,CUS-1102,sara.yousuf@gmail.com,SKU-3302,4,45.00,0.00,Completed
W-10079,22/01/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-1105,1,899.00,0.00,Completed
W-10080,22/01/2025,CUS-1078,layla.nasser@gmail.com,SKU-2201,1,349.00,34.90,Completed
W-10081,23/01/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-4401,1,1299.00,130.00,Completed
W-10082,23/01/2025,,tariq.hussain@gmail.com,SKU-3305,3,29.00,0.00,Completed
W-10083,24/01/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-1103,1,459.00,0.00,Completed
W-10084,25/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-2205,2,529.00,53.00,Completed
W-10085,25/01/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-4402,1,599.00,0.00,Completed
W-10086,26/01/2025,,moza.alsuwaidi@gmail.com,SKU-1106,1,1099.00,0.00,Completed
W-10087,27/01/2025,CUS-1055,omar.farooq@gmail.com,SKU-3301,5,19.00,0.00,Completed
W-10088,27/01/2025,CUS-1102,sara.yousuf@gmail.com,SKU-2209,1,229.00,0.00,Completed
W-10089,28/01/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-4403,1,749.00,74.90,Completed
W-10090,28/01/2025,CUS-1078,layla.nasser@gmail.com,SKU-3308,2,89.00,0.00,Completed
W-10091,29/01/2025,,amna.rashid@yahoo.com,SKU-1101,1,199.00,0.00,Completed
W-10092,29/01/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-2201,1,349.00,0.00,Completed
W-10093,30/01/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-4404,1,2199.00,219.90,Completed
W-10094,30/01/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-3302,2,45.00,0.00,Completed
W-10095,31/01/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-1105,1,899.00,0.00,Completed
W-10096,31/01/2025,,bilal.qureshi@gmail.com,SKU-2210,1,189.00,19.00,Completed
