order_id,order_date,customer_id,customer_email,sku,quantity,unit_price,discount_amount,status
W-10153,01/03/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-4404,1,2199.00,220.00,Completed
W-10154,01/03/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-2201,2,349.00,34.90,Completed
W-10155,02/03/2025,,sara.new@gmail.com,SKU-3302,3,45.00,0.00,Completed
W-10156,02/03/2025,CUS-1301,hassan.alali@gmail.com,SKU-1105,1,899.00,90.00,Completed
W-10157,03/03/2025,CUS-1401,ali.alshehhi@gmail.com,SKU-4401,1,1299.00,130.00,Completed
W-10158,03/03/2025,CUS-1102,sara.yousuf@gmail.com,SKU-2205,1,529.00,52.90,Completed
W-10159,04/03/2025,CUS-1055,omar.farooq@gmail.com,SKU-1101,2,199.00,0.00,Completed
W-10160,04/03/2025,,lara.guest@outlook.com,SKU-3305,4,29.00,0.00,Completed
W-10161,05/03/2025,CUS-1078,layla.nasser@gmail.com,SKU-4403,1,749.00,75.00,Completed
W-10162,05/03/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-2209,2,229.00,22.90,Completed
W-10163,06/03/2025,CUS-1401,ali.alshehhi@gmail.com,SKU-1103,1,459.00,46.00,Completed
W-10164,06/03/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-3301,5,19.00,0.00,Completed
W-10165,07/03/2025,,noor.guest@gmail.com,SKU-4402,1,599.00,60.00,Completed
W-10166,07/03/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-2210,1,189.00,19.00,Completed
W-10167,08/03/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1106,1,1099.00,110.00,Completed
W-10168,08/03/2025,CUS-1302,priya.nair@gmail.com,SKU-3308,2,89.00,0.00,Completed
W-10169,09/03/2025,CUS-1055,omar.farooq@gmail.com,SKU-4401,1,1299.00,0.00,Returned
W-10170,09/03/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-2201,1,349.00,34.90,Completed
W-10171,10/03/2025,,fatma.guest@yahoo.com,SKU-1105,1,899.00,0.00,Completed
W-10172,10/03/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-3302,4,45.00,0.00,Completed
W-10173,11/03/2025,CUS-1301,hassan.alali@gmail.com,SKU-4403,2,749.00,75.00,Completed
W-10174,11/03/2025,CUS-1078,layla.nasser@gmail.com,SKU-2205,1,529.00,0.00,Completed
W-10175,12/03/2025,CUS-1302,priya.nair@gmail.com,SKU-1101,3,199.00,30.00,Completed
W-10176,12/03/2025,,khalid.guest@gmail.com,SKU-3305,2,29.00,0.00,Completed
W-10177,13/03/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-4404,1,2199.00,220.00,Completed
W-10178,13/03/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-2209,1,229.00,22.90,Completed
W-10179,14/03/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1103,1,459.00,46.00,Completed
W-10180,14/03/2025,,march.guest@gmail.com,SKU-3301,3,19.00,0.00,Completed
W-10181,15/03/2025,CUS-1102,sara.yousuf@gmail.com,SKU-4402,1,599.00,0.00,Completed
W-10182,15/03/2025,CUS-1401,ali.alshehhi@gmail.com,SKU-2210,2,189.00,19.00,Completed
W-10183,16/03/2025,CUS-1055,omar.farooq@gmail.com,SKU-1106,1,1099.00,110.00,Completed
W-10184,16/03/2025,,amira.guest@hotmail.com,SKU-3308,1,89.00,0.00,Completed
W-10185,17/03/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-4401,1,1299.00,130.00,Completed
W-10186,17/03/2025,CUS-1302,priya.nair@gmail.com,SKU-2201,2,349.00,0.00,Completed
W-10187,18/03/2025,CUS-1078,layla.nasser@gmail.com,SKU-1105,1,899.00,89.90,Completed
W-10188,18/03/2025,,rashid.guest@gmail.com,SKU-3302,2,45.00,0.00,Completed
W-10189,19/03/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-2205,1,529.00,53.00,Completed
W-10190,19/03/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-4403,1,749.00,75.00,Completed
W-10191,20/03/2025,CUS-1200,rashed.alketbi@gmail.com,SKU-1101,2,199.00,0.00,Completed
W-10192,20/03/2025,,nouf.guest@gmail.com,SKU-3305,3,29.00,0.00,Completed
W-10193,21/03/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-4404,1,2199.00,220.00,Completed
W-10194,21/03/2025,CUS-1301,hassan.alali@gmail.com,SKU-2209,1,229.00,0.00,Completed
W-10195,22/03/2025,CUS-1302,priya.nair@gmail.com,SKU-1103,1,459.00,46.00,Completed
W-10196,22/03/2025,,guest.mar22@gmail.com,SKU-3301,4,19.00,0.00,Completed
W-10197,23/03/2025,CUS-1102,sara.yousuf@gmail.com,SKU-4402,1,599.00,59.90,Completed
W-10198,23/03/2025,CUS-1055,omar.farooq@gmail.com,SKU-2210,1,189.00,0.00,Completed
W-10199,24/03/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-1106,1,1099.00,0.00,Cancelled
W-10200,24/03/2025,,diana.guest@gmail.com,SKU-3308,2,89.00,8.90,Completed
W-10201,25/03/2025,CUS-1078,layla.nasser@gmail.com,SKU-4401,1,1299.00,0.00,Completed
W-10202,25/03/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-2201,2,349.00,34.90,Completed
W-10203,26/03/2025,CUS-1083,khalid.alblooshi@gmail.com,SKU-1105,1,899.00,0.00,Completed
W-10204,26/03/2025,,marwa.guest@gmail.com,SKU-3302,3,45.00,0.00,Completed
W-10205,27/03/2025,CUS-1401,ali.alshehhi@gmail.com,SKU-4403,1,749.00,74.90,Completed
W-10206,27/03/2025,CUS-1302,priya.nair@gmail.com,SKU-2205,1,529.00,0.00,Completed
W-10207,28/03/2025,CUS-1047,fatima.hassan@hotmail.com,SKU-1101,2,199.00,20.00,Completed
W-10208,28/03/2025,,ahmed.guest2@yahoo.com,SKU-3305,2,29.00,0.00,Completed
W-10209,29/03/2025,CUS-1301,hassan.alali@gmail.com,SKU-4403,1,749.00,0.00,Completed
W-10210,29/03/2025,CUS-1134,hamdan.sultan@gmail.com,SKU-2201,1,349.00,34.90,Completed
W-10211,30/03/2025,CUS-1102,sara.yousuf@gmail.com,SKU-1105,1,899.00,89.90,Completed
W-10212,30/03/2025,,bilal.guest@gmail.com,SKU-3302,2,45.00,0.00,Completed
W-10213,31/03/2025,CUS-1021,ahmed.almarzouqi@gmail.com,SKU-4401,1,1299.00,130.00,Completed
W-10214,31/03/2025,CUS-1401,ali.alshehhi@gmail.com,SKU-2209,1,229.00,22.90,Completed
