customer_id,customer_email,full_name,city,segment,registration_date,preferred_channel
CUS-1021,ahmed.almarzouqi@gmail.com,Ahmed Al Marzouqi,Dubai,VIP,15/03/2022,Website
CUS-1047,fatima.hassan@hotmail.com,Fatima Hassan,Sharjah,Returning,02/07/2022,Noon
CUS-1055,omar.farooq@gmail.com,Omar Farooq,Dubai,Returning,18/11/2022,Amazon
CUS-1078,layla.nasser@gmail.com,Layla Nasser,Abu Dhabi,Returning,05/01/2023,Amazon
CUS-1083,khalid.alblooshi@gmail.com,Khalid Al Blooshi,Dubai,VIP,22/01/2023,Website
CUS-1102,sara.yousuf@gmail.com,Sara Yousuf,Dubai,Returning,14/04/2023,Website
CUS-1134,hamdan.sultan@gmail.com,Hamdan Sultan,Ajman,Returning,30/08/2023,Amazon
CUS-1155,sultan.alremeithi@gmail.com,Sultan Al Remeithi,Dubai,New,12/10/2023,Noon
CUS-1190,majid.almansoori@gmail.com,Majid Al Mansoori,Abu Dhabi,New,03/12/2023,Noon
CUS-1200,rashed.alketbi@gmail.com,Rashed Al Ketbi,Dubai,New,19/12/2023,Website
CUS-1240,meera.chandran@gmail.com,Meera Chandran,Dubai,New,08/01/2025,Amazon
CUS-1301,hassan.alali@gmail.com,Hassan Al Ali,Dubai,New,28/01/2025,Website
CUS-1302,priya.nair@gmail.com,Priya Nair,Dubai,New,30/01/2025,Website
CUS-1303,james.mathew@gmail.com,James Mathew,Sharjah,New,31/01/2025,Noon
CUS-1304,kevin.dsouza@gmail.com,Kevin D'Souza,Dubai,New,01/02/2025,Amazon
CUS-1401,ali.alshehhi@gmail.com,Ali Al Shehhi,Dubai,New,25/02/2025,Website
CUS-1402,maria.george@gmail.com,Maria George,Abu Dhabi,New,26/02/2025,Noon
CUS-1403,robert.james@gmail.com,Robert James,Dubai,New,28/02/2025,Amazon
